"Bacteria","correlation"
"spongiimonas",-0.755395854426249
"arthrobacter",0.28443394699447
"lentisphaera",0.592028764340883
"rubripirellula",-0.446184938814606
"colwellia",0.327680092083081
"lactococcus",-0.389062371747645
"salinivibrio",0.651897758445968
"tropicibacter",0.174376282717863
"dietzia",0.440824778176531
"staphylococcus",0.822304782700573
"microbacterium",0.775673031121702
"microvirga",0.785387076420657
"porphyromonas",-0.459992377279502
"effusibacillus",-0.147840471034752
"aquimarina",0.430221407333031
"variovorax",-0.731703777743838
"pantoea",0.512227383558185
"mycoplasma",0.528380116873629
"bradyrhizobium",0.428767512746512
"burkholderia",-0.587408605037739
"cohaesibacter",-0.264146437123242
"planktotalea",0.0403385574670216
"roseobacter",0.411328112589572
"fusobacterium",0.0396285235522694
"peptococcus",0.000282650772694493
"mesorhizobium",0.556032463114105
"spongiispira",-0.648681179224228
"candidatus.anammoximicrobium",-0.505504493314304
"paracoccus",-0.269294389582678
"rhodococcus",-0.551864338143955
"acidovorax",0.356020015816716
"loktanella",0.146447189779591
"tenacibaculum",0.369671319128252
"shigella",-0.583970241666839
"roseovarius",-0.0685861078492902
"lautropia",-0.50075275972668
"janthinobacterium",0.643723996798712
"atopostipes",0.423667400125589
"candidatus.metachlamydia",-0.711701911578114
"leptotrichia",-0.271782558021539
"enhydrobacter",0.10900046873156
"nocardioides",0.476438561890439
"veillonella",-0.45453363799177
"ruegeria",-0.0368904222202093
"peptoclostridium",0.439099890970866
"bifidobacterium",-0.595185993570799
"jannaschia",-0.18279852818518
"rothia",-0.467903494149766
"dialister",-0.500393761019538
"saccharofermentans",-0.550782794333718
"pseudofulvibacter",-0.387826641986283
"vagococcus",0.233825020909883
"ilyobacter",0.772783188627111
"aliivibrio",0.273789878223311
"arcobacter",0.447631398015586
"flavobacterium",0.631785012444938
"rubritalea",0.756803433403685
"marinobacterium",-0.409535660893261
"noviherbaspirillum",-0.607839835350468
"rhodovulum",0.67986576506167
"bdellovibrio",-0.610431910462841
"kallipyga",0.752263261860708
"hydrotalea",-0.578327399083217
"finegoldia",0.694522936113643
"clostridium",-0.591703369826694
"blautia",0.291272710692513
"candidatus.babela",-0.606584808401541
"moritella",-0.555789809701473
"abiotrophia",-0.492619939312821
"algivirga",-0.404735319366564
"haemophilus",-0.481040894008852
"psychrobacter",-0.34443127003661
"iamia",-0.656907047633155
"cardiobacterium",-0.48354929061509
"deinococcus",0.387961285350571
"bacteroides",0.431169015853913
"polaribacter",0.443135029879844
"endozoicomonas",0.36188951077681
"aggregatibacter",-0.476284156175787
"methylophaga",-0.423195858258516
"exiguobacterium",0.615544405208379
"prochlorococcus",-0.447790808287317
"sediminibacterium",-0.608274081735031
"saccharicrinis",0.694249894149999
"others",0.819424450837358
"X192",-0.844612668950679
